Operation,Context,AvgTime_ms,StdDev_ms,OpsPerSec,Status
"Individual INSERT","1000 records",161.4313,14.8156,6.1946,"OK"
"Batch INSERT (addBatch/executeBatch)","1000 records",234.0881,23.3842,4.2719,"OK"
"Individual INSERT","10000 records",456.5428,80.4404,2.1904,"OK"
"Batch INSERT (addBatch/executeBatch)","10000 records",409.4534,48.8177,2.4423,"OK"
"Full-table scan (LOANS by LoanDate range)","LOANS table",45.0548,15.0088,22.1952,"OK"
"Indexed lookup (LOANS by MemberID)","LOANS table",12.6949,3.9486,78.7718,"OK"
"Indexed lookup (LOANS.ReturnDate IS NULL)","LOANS table",10.0372,1.5433,99.6299,"OK"
"Statement (string concat, 500 SELECTs)","Members table",39.0149,10.0792,25.6312,"OK"
"PreparedStatement (compiled, 500 SELECTs)","Members table",28.0948,3.0194,35.5937,"OK"
"Per-op commit (100 inserts)","100 transactions",143.9870,73.4944,6.9451,"OK"
"Batched commit (100 inserts, 1 tx)","1 commit",32.6209,7.2768,30.6551,"OK"
